AREA;PERIMETER;LINK;Mujer_Primario incompleto;Mujer_Primario completo;Mujer_Secundario incompleto;Mujer_Secundario completo;Mujer_Polimodal incompleto;Mujer_Polimodal completo;Mujer_Sin instrucciÃ³n;Mujer_EGB completo;Mujer_EGB incompleto;VarÃ³n_Primario incompleto;VarÃ³n_Primario completo;VarÃ³n_Secundario incompleto;VarÃ³n_Secundario completo;VarÃ³n_Polimodal incompleto;VarÃ³n_Polimodal completo;VarÃ³n_Sin instrucciÃ³n;VarÃ³n_EGB completo;VarÃ³n_EGB incompleto
10417407,51;16265,684;68052703;2;6;2;5;0;2;0;0;0;1;11;10;8;2;0;0;0;1
6515342,144;14122,218;68052606;1;3;6;8;0;0;0;0;1;2;9;5;11;0;0;0;0;1
14828055,96;22520,012;68052714;7;15;24;16;1;2;0;0;0;15;22;32;20;1;0;0;0;0
61205372,09;71202,626;68052704;8;20;17;19;1;2;0;0;1;21;22;23;17;3;0;0;2;1
11378574,24;22259,054;68052604;4;10;15;28;0;2;0;0;0;11;11;12;16;0;0;0;0;0
5461445,983;16712,267;68052614;5;27;27;38;6;4;0;3;3;15;36;49;44;6;6;0;1;2
9559317,66;15704,163;68052605;2;12;5;12;0;0;0;0;0;4;14;8;13;0;0;0;0;0
7516140,193;13647,585;68052701;3;5;5;5;0;0;0;0;0;3;4;4;9;0;0;0;1;0
4809103,725;9492,823;68052707;4;27;17;33;1;1;0;1;1;8;17;30;32;2;1;0;1;2
8812740,025;15737,823;68052609;7;27;15;14;0;3;0;0;0;10;29;21;19;0;1;0;2;1
2498050,85;7425,723;68052716;2;16;15;37;2;1;0;0;1;8;22;21;29;2;2;0;1;0
9927449,465;16787,27;68052610;7;14;16;22;0;3;0;2;0;4;21;18;18;1;1;0;3;0
1645574,289;6372,232;68052708;6;18;15;25;0;0;0;1;0;5;14;19;28;1;0;0;0;1
3313928,656;12160,268;68052603;1;4;5;5;0;0;0;0;0;3;6;13;10;0;0;0;0;0
2830826,065;8868,99;68052615;1;17;11;25;0;4;0;0;0;3;14;24;19;1;4;0;3;0
4665542,537;15767,124;68052705;1;1;1;4;0;1;0;1;0;0;4;8;5;0;0;0;0;0
2397176,405;7051,554;68052711;4;19;19;30;1;1;0;0;0;8;19;23;26;0;3;0;0;1
5092184,285;9752,163;68052702;2;5;3;10;0;0;0;0;0;4;5;6;5;1;0;0;0;2
4980708,726;9281,125;68052706;1;13;7;21;1;2;0;0;0;6;24;8;28;1;2;0;0;0
5879389,704;12055,472;68052715;3;16;16;27;1;1;0;0;1;9;18;27;18;1;3;0;1;1
3134191,059;9254,382;68052611;0;5;13;18;2;0;0;0;2;2;13;15;12;0;0;0;2;1
2970692,95;9330,964;68052712;2;11;12;19;0;0;0;0;0;3;21;8;14;1;1;0;0;0
6611253,221;14842,495;68052607;0;10;8;4;0;2;2;0;1;3;10;5;7;0;2;0;1;0
9390656,28;13415,92;68052602;1;8;9;16;0;2;0;0;0;4;10;9;21;0;1;1;1;0
3707433,16;12157,239;68052613;0;8;4;18;0;1;0;0;0;1;13;5;15;0;2;0;1;1
1977157,542;6364,131;68052709;3;18;16;23;0;4;0;0;0;7;23;20;38;0;3;0;1;2
2818953,162;8950,515;68052612;1;5;9;15;0;1;0;1;0;0;7;13;18;0;0;0;2;0
2779835,929;9220,495;68052713;3;8;10;15;0;1;0;0;0;7;15;12;9;0;2;0;0;0
12987214,86;18042,524;68052601;3;13;8;14;1;2;0;0;0;7;21;16;14;0;0;0;0;0
13164418,15;16841,722;68052608;2;5;4;10;0;0;0;0;0;2;7;10;10;0;0;0;0;0
